INSTNM,NPT4_PUB,Year,STABBR,CITY
A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,,2011,NY,New York
ICDC College,,2011,CA,Los Angeles
CBD College,,2011,CA,Los Angeles
SAE Institute of Technology-New York,,2011,NY,New York
California Healing Arts College,,2011,CA,Los Angeles
Ladera Career Paths Training Centers,,2011,CA,Los Angeles
Argosy University-Los Angeles,,2011,CA,Los Angeles
International College of Beauty Arts & Sciences,,2011,CA,Los Angeles
Palace Beauty College,,2011,CA,Los Angeles
Aveda Institute-New York,,2011,NY,New York
New Age Training,,2011,NY,New York
Fremont College,,2011,CA,Los Angeles
Career College Consultants,,2011,CA,Los Angeles
Institute of Allied Medical Professions-New York,,2011,NY,New York
Micropower Career Institute,,2011,NY,New York
FIDM/Fashion Institute of Design & Merchandising-Los Angeles,,2012,CA,Los Angeles
Borner's Barber College,,2011,CA,Los Angeles
Career Development Institute,,2011,CA,Los Angeles
The Chicago School of Professional Psychology at Los Angeles,,2011,CA,Los Angeles
Occidental College,,2012,CA,Los Angeles
Central Nursing College,,2011,CA,Los Angeles
Academy for Jewish Religion-California,,2011,CA,Los Angeles
Angeles College,,2011,CA,Los Angeles
LA Barber College,,2011,CA,Los Angeles
Institute of Culinary Education,,2011,NY,New York
Preferred College of Nursing-Los Angeles,,2011,CA,Los Angeles
Southern California University SOMA,,2011,CA,Los Angeles
Touro College Los Angeles,,2011,CA,Los Angeles
Hair Design Institute at Fifth Avenue-New York,,2011,NY,New York
Mildred Elley,,2011,NY,New York
The Collective School Of Music,,2011,NY,New York
Manhattan Institute (The),,2011,NY,New York
Atelier Esthetique Institute of Esthetics,,2011,NY,New York
DeVry College of New York's Keller Graduate School of Management,,2011,NY,New York
Aveda Fredric's Institute,,2011,CA,Los Angeles
New York Film Academy,,2011,NY,New York
Golden Gate University-Los Angeles,,2011,CA,Los Angeles
Marinello School of Beauty,,2011,CA,Los Angeles
Mount St. Mary's College - Doheny Campus,,2011,CA,Los Angeles
Pratt Manhattan-A Division of Pratt Institute,,2011,NY,New York
Los Angeles Center,,2011,CA,Los Angeles
Make-up Designory,,2011,NY,New York
American Academy of Dramatic Arts-Los Angeles,,2012,CA,Los Angeles
American Film Institute Conservatory,,2012,CA,Los Angeles
American Career College-Los Angeles,,2012,CA,Los Angeles
Associated Technical College-Los Angeles,,2012,CA,Los Angeles
Bryan University,,2012,CA,Los Angeles
Charles R Drew University of Medicine and Science,,2012,CA,Los Angeles
Joe Blasco Makeup Artist Training Center,,2012,CA,Los Angeles
American Jewish University,,2012,CA,Los Angeles
Los Angeles County College of Nursing and Allied Health,,2012,CA,Los Angeles
Loyola Marymount University,,2012,CA,Los Angeles
Marinello Schools of Beauty-Los Angeles,,2012,CA,Los Angeles
Mount St. Mary's College,,2012,CA,Los Angeles
Everest College-LA Wilshire,,2012,CA,Los Angeles
Otis College of Art and Design,,2012,CA,Los Angeles
Pacific States University,,2012,CA,Los Angeles
Dongguk University Los Angeles,,2012,CA,Los Angeles
Westwood College-Los Angeles,,2012,CA,Los Angeles
Southern California Institute of Architecture,,2012,CA,Los Angeles
University of Southern California,,2012,CA,Los Angeles
Southwestern Law School,,2012,CA,Los Angeles
Universal College of Beauty Inc-Los Angeles 1,,2012,CA,Los Angeles
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,,2012,CA,Los Angeles
Tri-State College of Acupuncture,,2012,NY,New York
New Age Training,,2012,NY,New York
Micropower Career Institute,,2012,NY,New York
Career College Consultants,,2012,CA,Los Angeles
The King’s College,,2012,NY,New York
The Chicago School of Professional Psychology at Westwood,,2012,CA,Los Angeles
Institute of Culinary Education,,2012,NY,New York
Institute of Allied Medical Professions-New York,,2012,NY,New York
Atelier Esthetique Institute of Esthetics,,2012,NY,New York
Borner's Barber College,,2012,CA,Los Angeles
Central Nursing College,,2012,CA,Los Angeles
Academy for Jewish Religion-California,,2012,CA,Los Angeles
Preferred College of Nursing-Los Angeles,,2012,CA,Los Angeles
Southern California University SOMA,,2012,CA,Los Angeles
Hair Design Institute at Fifth Avenue-New York,,2012,NY,New York
The Collective School Of Music,,2012,NY,New York
DeVry College of New York's Keller Graduate School of Management,,2012,NY,New York
International College of Beauty Arts & Sciences,,2012,CA,Los Angeles
Christie's Education,,2012,NY,New York
Career Development Institute,,2012,CA,Los Angeles
Golden Gate University-Los Angeles,,2012,CA,Los Angeles
Mount St. Mary's College - Doheny Campus,,2012,CA,Los Angeles
Los Angeles Center,,2012,CA,Los Angeles
Angeles College,,2012,CA,Los Angeles
American Film Institute Conservatory,,2013,CA,Los Angeles
Associated Technical College-Los Angeles,,2013,CA,Los Angeles
Charles R Drew University of Medicine and Science,,2013,CA,Los Angeles
SAE Institute of Technology-New York,,2012,NY,New York
Loyola Marymount University,,2013,CA,Los Angeles
Mildred Elley,,2012,NY,New York
Occidental College,,2013,CA,Los Angeles
Manhattan Institute (The),,2012,NY,New York
Westwood College-Los Angeles,,2013,CA,Los Angeles
University of Southern California,,2013,CA,Los Angeles
Universal College of Beauty Inc-Los Angeles 1,,2013,CA,Los Angeles
Aveda Institute Los Angeles,,2012,CA,Los Angeles
Academy of Couture Art,,2012,CA,Los Angeles
SAE Institute of Technology Los Angeles,,2012,CA,Los Angeles
Digital Film Academy,,2012,NY,New York
Phillips Beth Israel School of Nursing,,2013,NY,New York
Marinello School of Beauty,,2012,CA,Los Angeles
Columbia University in the City of New York,,2013,NY,New York
Pratt Manhattan-A Division of Pratt Institute,,2012,NY,New York
The International Culinary Center,,2013,NY,New York
Fremont College,,2012,CA,Los Angeles
Make-up Designory,,2012,NY,New York
American Academy of Dramatic Arts-Los Angeles,,2013,CA,Los Angeles
Mandl School-The College of Allied Health,,2013,NY,New York
American Career College-Los Angeles,,2013,CA,Los Angeles
Mesivtha Tifereth Jerusalem of America,,2013,NY,New York
Bryan University,,2013,CA,Los Angeles
Fashion Institute of Design & Merchandising-Los Angeles,,2013,CA,Los Angeles
American Jewish University,,2013,CA,Los Angeles
Los Angeles County College of Nursing and Allied Health,,2013,CA,Los Angeles
Empire Beauty School-Manhattan,,2013,NY,New York
Marinello Schools of Beauty-Los Angeles,,2013,CA,Los Angeles
Mount St Mary's College,,2013,CA,Los Angeles
Everest College-LA Wilshire,,2013,CA,Los Angeles
Sanford-Brown Institute-New York,,2013,NY,New York
Otis College of Art and Design,,2013,CA,Los Angeles
Pacific States University,,2013,CA,Los Angeles
Dongguk University-Los Angeles,,2013,CA,Los Angeles
Los Angeles ORT College-Los Angeles Campus,,2013,CA,Los Angeles
Southern California Institute of Architecture,,2013,CA,Los Angeles
Diversified Vocational College,,2013,CA,Los Angeles
Southwestern Law School,,2013,CA,Los Angeles
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,,2013,CA,Los Angeles
Tri-State College of Acupuncture,,2013,NY,New York
Globe Institute of Technology,,2013,NY,New York
Carsten Institute of Cosmetology,,2013,NY,New York
American Academy of Dramatic Arts-New York,,2013,NY,New York
American Academy McAllister Institute of Funeral Service,,2013,NY,New York
Joffrey Ballet School,,2013,NY,New York
American Musical and Dramatic Academy,,2013,NY,New York
Bank Street College of Education,,2013,NY,New York
Barnard College,,2013,NY,New York
Berkeley College-New York,,2013,NY,New York
Preferred College of Nursing-Los Angeles,,2013,CA,Los Angeles
Boricua College,,2013,NY,New York
Circle in the Square Theater School,,2013,NY,New York
Metropolitan College of New York,,2013,NY,New York
Cooper Union for the Advancement of Science and Art,,2013,NY,New York
Weill Cornell Medical College,,2013,NY,New York
CUNY Graduate School and University Center,,2013,NY,New York
Advanced Computing Institute,,2013,CA,Los Angeles
Gemological Institute of America-New York,,2013,NY,New York
The General Theological Seminary,,2013,NY,New York
Helene Fuld College of Nursing,,2013,NY,New York
Institute of Audio Research,,2013,NY,New York
Jewish Theological Seminary of America,,2013,NY,New York
The Juilliard School,,2013,NY,New York
LIM College,,2013,NY,New York
Manhattan School of Music,,2013,NY,New York
Marymount Manhattan College,,2013,NY,New York
Memorial Hospital School of Radiation Therapy Technology,,2013,NY,New York
Neighborhood Playhouse School of the Theater,,2013,NY,New York
The New School,,2013,NY,New York
New York Law School,,2013,NY,New York
New York Theological Seminary,,2013,NY,New York
New York University,,2013,NY,New York
New York College of Podiatric Medicine,,2013,NY,New York
New York School of Interior Design,,2013,NY,New York
Pace University-New York,,2013,NY,New York
Professional Business College,,2013,NY,New York
Spanish-American Institute,,2013,NY,New York
New York Career Institute,,2013,NY,New York
SUNY College of Optometry,,2013,NY,New York
Swedish Institute a College of Health Sciences,,2013,NY,New York
Teachers College at Columbia University,,2013,NY,New York
Technical Career Institutes,,2013,NY,New York
Touro College,,2013,NY,New York
Union Theological Seminary in the City of New York,,2013,NY,New York
School of Visual Arts,,2013,NY,New York
Wood Tobe-Coburn School,,2013,NY,New York
Yeshiva University,,2013,NY,New York
Hebrew Union College-Jewish Institute of Religion,,2013,NY,New York
The Art Institute of New York City,,2013,NY,New York
New York Academy of Art,,2013,NY,New York
Everest College-West Los Angeles,,2013,CA,Los Angeles
Universal College of Beauty Inc-Los Angeles 2,,2013,CA,Los Angeles
Dance Theatre of Harlem Inc,,2013,NY,New York
World Mission University,,2013,CA,Los Angeles
Yo San University of Traditional Chinese Medicine,,2013,CA,Los Angeles
Coast Career Institute,,2013,CA,Los Angeles
Pacific College of Oriental Medicine-New York,,2013,NY,New York
New York Conservatory for Dramatic Arts,,2013,NY,New York
Lia Schorr Institute of Cosmetic Skin Care Training,,2013,NY,New York
Studio Jewelers,,2013,NY,New York
Virginia Sewing Machines and School Center,,2013,CA,Los Angeles
CBD College,,2013,CA,Los Angeles
Argosy University-Los Angeles,,2013,CA,Los Angeles
Palace Beauty College,,2013,CA,Los Angeles
Aveda Institute-New York,,2013,NY,New York
New Age Training,,2013,NY,New York
Career College Consultants,,2013,CA,Los Angeles
Institute of Allied Medical Professions-New York,,2013,NY,New York
Micropower Career Institute,,2013,NY,New York
The King’s College,,2013,NY,New York
Borner's Barber College,,2013,CA,Los Angeles
Career Development Institute,,2013,CA,Los Angeles
The Chicago School of Professional Psychology at Los Angeles,,2013,CA,Los Angeles
The Chicago School of Professional Psychology at Westwood,,2013,CA,Los Angeles
Central Nursing College,,2013,CA,Los Angeles
Academy for Jewish Religion-California,,2013,CA,Los Angeles
Angeles College,,2013,CA,Los Angeles
Institute of Culinary Education,,2013,NY,New York
Southern California University SOMA,,2013,CA,Los Angeles
SAE Institute of Technology-New York,,2013,NY,New York
Hair Design Institute at Fifth Avenue-New York,,2013,NY,New York
Mildred Elley-New York Campus,,2013,NY,New York
The Collective School Of Music,,2013,NY,New York
Manhattan Institute,,2013,NY,New York
Atelier Esthetique Institute of Esthetics,,2013,NY,New York
Aveda Institute-Los Angeles,,2013,CA,Los Angeles
Relay Graduate School of Education,,2013,NY,New York
Christie's Education,,2013,NY,New York
SAE Institute of Technology-Los Angeles,,2013,CA,Los Angeles
Digital Film Academy,,2013,NY,New York
Sotheby's Institute of Art-NY,,2013,NY,New York
American Academy of Personal Training,,2013,NY,New York
Arrojo Cosmetology School,,2013,NY,New York
DeVry College of New York,,2013,NY,New York
Golden Gate University-Los Angeles,,2013,CA,Los Angeles
Marinello School of Beauty,,2013,CA,Los Angeles
Mount St. Mary's College - Doheny Campus,,2013,CA,Los Angeles
Pratt Manhattan-A Division of Pratt Institute,,2013,NY,New York
Los Angeles Center,,2013,CA,Los Angeles
Fremont College,,2013,CA,Los Angeles
Make-up Designory,,2013,NY,New York
