INSTNM,NPT4_PUB,Year,STABBR,CITY
The Fashion Institute of Design & Merchandising-Los Angeles,,2006,CA,Los Angeles
LA College International,,2006,CA,Los Angeles
University of Judaism,,2006,CA,Los Angeles
Los Angeles Southwest College,,2006,CA,Los Angeles
Los Angeles Trade Technical College,,2006,CA,Los Angeles
Los Angeles City College,,2006,CA,Los Angeles
Los Angeles County College of Nursing and Allied Health,,2006,CA,Los Angeles
Loyola Marymount University,,2006,CA,Los Angeles
Marinello School of Beauty,,2006,CA,Los Angeles
Marinello School of Beauty,,2006,CA,Los Angeles
Mount St Mary's College,,2006,CA,Los Angeles
Bryman College,,2006,CA,Los Angeles
Marinello School of Beauty,,2006,CA,Los Angeles
Occidental College,,2006,CA,Los Angeles
Otis College of Art and Design,,2006,CA,Los Angeles
Pacific States University,,2006,CA,Los Angeles
Dongguk Royal University,,2006,CA,Los Angeles
Samra University of Oriental Medicine,,2006,CA,Los Angeles
Westwood College-Los Angeles,,2006,CA,Los Angeles
Southern California Institute of Architecture,,2006,CA,Los Angeles
University of Southern California,,2006,CA,Los Angeles
Southwestern Law School,,2006,CA,Los Angeles
Universal College of Beauty Inc,,2006,CA,Los Angeles
Maxine Waters Employment Preparation Center,,2006,CA,Los Angeles
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,,2006,CA,Los Angeles
Tri-State College of Acupuncture,,2006,NY,New York
Globe Institute of Technology,,2006,NY,New York
The Ailey School,,2006,NY,New York
American Academy of Dramatic Arts,,2006,NY,New York
American Academy McAllister Institute of Funeral Services,,2006,NY,New York
Joffrey Ballet School-American Ballet Center,,2006,NY,New York
American Musical and Dramatic Academy,,2006,NY,New York
Apex Technical School,,2006,NY,New York
Bank Street College of Education,,2006,NY,New York
Barnard College,,2006,NY,New York
Berkeley College,,2006,NY,New York
Phillips Beth Israel School of Nursing,,2006,NY,New York
Boricua College,,2006,NY,New York
Career Blazers Learning Center,,2006,NY,New York
Caliber Training Institute,,2006,NY,New York
Circle in the Square Theater School,,2006,NY,New York
Metropolitan College of New York,,2006,NY,New York
Columbia University in the City of New York,,2006,NY,New York
Cooper Union for the Advancement of Science and Art,,2006,NY,New York
Weill Cornell Medical College,,2006,NY,New York
CUNY Bernard M Baruch College,,2006,NY,New York
CUNY Borough of Manhattan Community College,,2006,NY,New York
CUNY City College,,2006,NY,New York
CUNY Graduate School and University Center,,2006,NY,New York
CUNY Hunter College,,2006,NY,New York
