INSTNM,CITY,STABBR,UGDS,PCTPELL
All State Career-Baltimore,Baltimore,MD,1193,0.8773
Brown Mackie College-Indianapolis,Indianapolis,IN,1022,0.876
Uta Mesivta of Kiryas Joel,Monroe,NY,1412,0.876
Boricua College,New York,NY,1176,0.8759
Florida Career College-Miami,Miami,FL,3651,0.8755
Kaplan Career Institute-Pittsburgh,Pittsburgh,PA,1186,0.8754
Centro de Estudios Multidisciplinarios,San Juan,PR,1224,0.8753
Wichita Technical Institute,Wichita,KS,1166,0.8751
Brown Mackie College-Cincinnati,Cincinnati,OH,1522,0.874
Pontifical Catholic University of Puerto Rico-Ponce,Ponce,PR,5141,0.8734
United Education Institute,Jacksonville,FL,3375,0.8732
Universidad Del Turabo,Gurabo,PR,14556,0.8732
San Joaquin Valley College-Bakersfield,Bakersfield,CA,1137,0.8724
Berea College,Berea,KY,1604,0.8724
Benedict College,Columbia,SC,3203,0.8722
Brown Mackie College-Louisville,Louisville,KY,1968,0.872
Atlantic University College,Guaynabo,PR,1365,0.8718
Javelin Technical Training Center,Atlanta,GA,1208,0.8712
Brown Mackie College-Akron,Akron,OH,1141,0.8711
San Joaquin Valley College-Visalia,Visalia,CA,1679,0.8707
Heald College-Salinas,Salinas,CA,1076,0.8704
Southern Technical College,Orlando,FL,1357,0.87
Jackson State University,Jackson,MS,6551,0.8699
Pontifical Catholic University of Puerto Rico-Mayaguez,Mayaguez,PR,1341,0.8697
Morris College,Sumter,SC,1048,0.8696
Florida Career College-Miami,Miami,FL,5793,0.8693
Benedict College,Columbia,SC,2983,0.8692
Brown Mackie College-North Canton,Canton,OH,1074,0.8689
Wiley College,Marshall,TX,1325,0.8682
Wiley College,Marshall,TX,1237,0.8676
Livingstone College,Salisbury,NC,1111,0.8675
Pontifical Catholic University of Puerto Rico-Ponce,Ponce,PR,5644,0.8674
ICDC College,Los Angeles,CA,4350,0.8674
Kaplan Career Institute-McAllen,McAllen,TX,1075,0.8672
National College-Salem,Salem,VA,3593,0.867
College of Micronesia-FSM,Pohnpei,FM,2457,0.8668
Sanford-Brown College,West Allis,WI,1075,0.8663
Miller-Motte College-Wilmington,Wilmington,NC,2856,0.8658
EDP College of Puerto Rico Inc-San Sebastian,San Sebastian,PR,1073,0.8656
Florida Memorial University,Miami Gardens,FL,1738,0.8646
Universal Technology College of Puerto Rico,Aguadilla,PR,1818,0.8646
Colegio Universitario de San Juan,San Juan,PR,1608,0.8645
National College-Lexington,Lexington,KY,1275,0.8645
Brown Mackie College-Indianapolis,Indianapolis,IN,1298,0.8639
Inter American University of Puerto Rico-Bayamon,Bayamon,PR,4784,0.8635
Southeast Arkansas College,Pine Bluff,AR,2048,0.8633
San Antonio College of Medical and Dental Assistants-McAllen,McAllen,TX,1199,0.8633
Columbia Centro Universitario-Caguas,Caguas,PR,1680,0.8632
Boricua College,New York,NY,1050,0.8631
American Career College,Los Angeles,CA,1764,0.8629
Wiley College,Marshall,TX,1388,0.8625
Heald College-Salinas,Salinas,CA,1479,0.8616
Everest University-Pompano Beach,Pompano Beach,FL,2061,0.8615
