INSTNM,CITY,STABBR,UGDS,PCTPELL
Claremont McKenna College,Claremont,CA,1212,0.1119
Allan Hancock College,Santa Maria,CA,9910,0.1119
California School of Culinary Arts,Pasadena,CA,1691,0.1118
Merrimack College,North Andover,MA,2083,0.1116
St Mary's College of Maryland,Saint Mary's City,MD,1991,0.1116
Samford University,Birmingham,AL,2879,0.1113
Georgetown University,Washington,DC,7208,0.1112
Bates College,Lewiston,ME,1791,0.1112
University of Delaware,Newark,DE,17484,0.1111
Southern University and A & M College,Baton Rouge,LA,6264,0.111
Rice University,Houston,TX,3279,0.1109
Merritt College,Oakland,CA,6331,0.1107
Santa Barbara City College,Santa Barbara,CA,16324,0.1107
University of Notre Dame,Notre Dame,IN,8433,0.1107
Middlebury College,Middlebury,VT,2474,0.1106
Los Medanos College,Pittsburg,CA,8417,0.1105
Western Wyoming Community College,Rock Springs,WY,2335,0.1105
Diablo Valley College,Pleasant Hill,CA,18373,0.1105
Princeton University,Princeton,NJ,5142,0.1104
Cuyamaca College,El Cajon,CA,6813,0.1103
Colgate University,Hamilton,NY,2850,0.1103
Middlebury College,Middlebury,VT,2466,0.1103
Denison University,Granville,OH,2180,0.1102
Wagner College,Staten Island,NY,1861,0.1102
Colgate University,Hamilton,NY,2927,0.1102
The Art Institute of Pittsburgh-Online Division,Pittsburgh,PA,7032,0.1101
Whitman College,Walla Walla,WA,1430,0.1101
Carroll Community College,Westminster,MD,3453,0.1101
Texas Christian University,Fort Worth,TX,7580,0.11
Assumption College,Worcester,MA,2235,0.1099
Carnegie Mellon University,Pittsburgh,PA,5705,0.1098
Bryant University,Smithfield,RI,3367,0.1098
Napa Valley College,Napa,CA,6712,0.1096
Wichita Area Technical College,Wichita,KS,1059,0.1096
Tufts University,Medford,MA,5146,0.1096
Northwestern University,Evanston,IL,8947,0.1096
Coastline Community College,Fountain Valley,CA,8687,0.1096
Assumption College,Worcester,MA,2320,0.1095
West Virginia State Community and Technical College,Institute,WV,1737,0.1095
Oberlin College,Oberlin,OH,2839,0.1093
Great Basin College,Elko,NV,2279,0.1091
Whitman College,Walla Walla,WA,1491,0.1091
Dickinson College,Carlisle,PA,2368,0.109
ITT Technical Institute-San Diego,San Diego,CA,1190,0.1089
St. Mary's College of Maryland,Saint Mary's City,MD,1978,0.1089
Florida Southern College,Lakeland,FL,2128,0.1088
Skyline College,San Bruno,CA,9434,0.1086
Butler University,Indianapolis,IN,3710,0.1085
American University,Washington,DC,6028,0.1084
Rice University,Houston,TX,3102,0.1084
Franklin and Marshall College,Lancaster,PA,2324,0.1084
Vanderbilt University,Nashville,TN,6764,0.1083
Everett Community College,Everett,WA,4070,0.1081
University of Virginia-Main Campus,Charlottesville,VA,14232,0.1081
Harvard University,Cambridge,MA,7207,0.108
Colby College,Waterville,ME,1820,0.1079
College of Lake County,Grayslake,IL,10995,0.1078
Colorado College,Colorado Springs,CO,2008,0.1075
Lafayette College,Easton,PA,2454,0.1073
Oberlin College,Oberlin,OH,2894,0.1072
College of William and Mary,Williamsburg,VA,5862,0.1071
Emily Griffith Technical College,Denver,CO,2966,0.107
Texas Christian University,Fort Worth,TX,7369,0.1069
Lafayette College,Easton,PA,2443,0.1069
Panola College,Carthage,TX,2580,0.1069
Christopher Newport University,Newport News,VA,4746,0.1068
Villanova University,Villanova,PA,6862,0.1068
ITT Technical Institute-Troy,Troy,MI,1200,0.1066
Santa Ana College,Santa Ana,CA,28221,0.1066
Colorado College,Colorado Springs,CO,1983,0.1066
Harvard University,Cambridge,MA,7245,0.1065
Lafayette College,Easton,PA,2452,0.1065
Hamilton College,Clinton,NY,1834,0.1064
Saint Joseph's University,Philadelphia,PA,5161,0.1064
Lindsey Hopkins Technical Education Center,Miami,FL,1063,0.1062
Yeshiva University,New York,NY,2853,0.1062
Bucknell University,Lewisburg,PA,3498,0.1061
Northern Virginia Community College,Annandale,VA,34202,0.106
Northeastern University,Boston,MA,18265,0.106
Saint Joseph's University,Philadelphia,PA,5188,0.106
Folsom Lake College,Folsom,CA,8387,0.1057
Waubonsee Community College,Sugar Grove,IL,6813,0.1056
Francis Tuttle Technology Center,Oklahoma City,OK,1026,0.1056
Trinity College,Hartford,CT,2238,0.1055
Germanna Community College,Locust Grove,VA,4715,0.1054
Vassar College,Poughkeepsie,NY,2343,0.1053
University of Dayton,Dayton,OH,7420,0.1053
University of Richmond,Richmond,VA,3200,0.1052
Northern Virginia Community College,Annandale,VA,38077,0.1051
Great Basin College,Elko,NV,2426,0.1051
Endicott College,Beverly,MA,2236,0.1051
Bucknell University,Lewisburg,PA,3489,0.1051
Saint Louis University-Main Campus,Saint Louis,MO,7437,0.1049
College of Southern Nevada,Las Vegas,NV,34146,0.1048
Brazosport College,Lake Jackson,TX,3672,0.1048
Gettysburg College,Gettysburg,PA,2456,0.1047
Cuesta College,San Luis Obispo,CA,9620,0.1043
Barton County Community College,Great Bend,KS,3051,0.1043
Vassar College,Poughkeepsie,NY,2394,0.1042
Charter Oak State College,New Britain,CT,1599,0.1041
Lehigh University,Bethlehem,PA,4856,0.1041
Swarthmore College,Swarthmore,PA,1505,0.104
Wake Forest University,Winston Salem,NC,4642,0.104
Whitman College,Walla Walla,WA,1525,0.104
Rhodes College,Memphis,TN,1647,0.1039
Franklin and Marshall College,Lancaster,PA,2285,0.1039
Colorado College,Colorado Springs,CO,1972,0.1038
Pennsylvania Institute of Technology,Media,PA,1037,0.1038
AI Miami International University of Art and Design,Miami,FL,3372,0.1037
American Public University System,Charles Town,WV,28812,0.1037
MiraCosta College,Oceanside,CA,13413,0.1037
Emily Griffith Technical College,Denver,CO,2093,0.1036
Colgate University,Hamilton,NY,2868,0.1036
University of Dayton,Dayton,OH,7183,0.1035
Santa Ana College,Santa Ana,CA,25559,0.1035
University of San Diego,San Diego,CA,5097,0.1034
Bates Technical College,Tacoma,WA,1131,0.1033
Napa Valley College,Napa,CA,6063,0.1031
Claremont McKenna College,Claremont,CA,1211,0.1031
Middlebury College,Middlebury,VT,2502,0.1031
Cuesta College,San Luis Obispo,CA,10250,0.103
College of San Mateo,San Mateo,CA,9142,0.103
Taft College,Taft,CA,4952,0.103
Bucknell University,Lewisburg,PA,3499,0.103
Honolulu Community College,Honolulu,HI,3458,0.1029
Kalamazoo College,Kalamazoo,MI,1356,0.1027
Providence College,Providence,RI,4071,0.1026
Kenyon College,Gambier,OH,1694,0.1026
Emerson College,Boston,MA,3460,0.1024
Miami University-Oxford,Oxford,OH,14553,0.1024
Collin County Community College District,Plano,TX,23952,0.1023
Manatee Technical Institute,Bradenton,FL,1361,0.1023
Yeshiva University,New York,NY,3044,0.1021
Furman University,Greenville,SC,2724,0.1021
Embry-Riddle Aeronautical University-Worldwide,Daytona Beach,FL,9863,0.1021
Allan Hancock College,Santa Maria,CA,10304,0.1019
Ohlone Community College,Fremont,CA,9406,0.1019
Oberlin College,Oberlin,OH,2888,0.1018
Bellevue College,Bellevue,WA,4591,0.1016
Harvard University,Cambridge,MA,7278,0.1016
Kalamazoo College,Kalamazoo,MI,1355,0.1015
The Art Institutes International Minnesota,Minneapolis,MN,1890,0.1015
Canada College,Redwood City,CA,5461,0.1015
Scottsdale Community College,Scottsdale,AZ,7026,0.1014
Seattle Community College-South Campus,Seattle,WA,2164,0.1014
Kapiolani Community College,Honolulu,HI,6119,0.1013
University of Delaware,Newark,DE,16661,0.1013
Chandler/Gilbert Community College,Chandler,AZ,7007,0.1012
Honolulu Community College,Honolulu,HI,3300,0.1011
Lehigh University,Bethlehem,PA,4792,0.1011
Elon University,Elon,NC,5357,0.1011
Truckee Meadows Community College,Reno,NV,9595,0.1009
Carroll Community College,Westminster,MD,3893,0.1009
Princeton University,Princeton,NJ,5029,0.1009
Colby College,Waterville,ME,1863,0.1008
The Art Institute of Washington,Arlington,VA,1890,0.1007
Elon University,Elon,NC,5225,0.1006
Polytechnic Institute of New York University,Brooklyn,NY,1505,0.1003
Universal Technical Institute of Arizona Inc,Avondale,AZ,1730,0.1003
Scottsdale Community College,Scottsdale,AZ,5257,0.1003
Santa Clara University,Santa Clara,CA,5158,0.1002
University of San Diego,San Diego,CA,5066,0.1002
Connecticut College,New London,CT,1770,0.1002
Miami University-Oxford,Oxford,OH,14699,0.1001
Endicott College,Beverly,MA,2151,0.1001
Irvine Valley College,Irvine,CA,11515,0.1001
Princeton University,Princeton,NJ,4878,0.0999
Stonehill College,Easton,MA,2448,0.0998
Middlebury College,Middlebury,VT,2487,0.0997
Stonehill College,Easton,MA,2408,0.0996
Gettysburg College,Gettysburg,PA,2526,0.0996
Roger Williams University,Bristol,RI,4297,0.0995
Bates College,Lewiston,ME,1725,0.0995
Columbia University in the City of New York,New York,NY,7495,0.0994
ITT Technical Institute-Greenfield,Greenfield,WI,1075,0.0991
Tufts University,Medford,MA,5029,0.0989
Hamilton College,Clinton,NY,1851,0.0988
Duke University,Durham,NC,6352,0.0985
MiraCosta College,Oceanside,CA,13974,0.0985
Rio Salado College,Tempe,AZ,8632,0.0984
Yale University,New Haven,CT,5258,0.0984
Essex County College,Newark,NJ,11060,0.0983
Colorado College,Colorado Springs,CO,2025,0.0983
Middlebury College,Middlebury,VT,2455,0.0978
Boston University,Boston,MA,16295,0.0976
International Academy of Design and Technology,Chicago,IL,1950,0.0972
American University,Washington,DC,6430,0.097
Christopher Newport University,Newport News,VA,4771,0.097
Ohio Hi Point Joint Vocational School District,Bellefontaine,OH,1085,0.097
Colby College,Waterville,ME,1815,0.097
College of the Canyons,Santa Clarita,CA,21374,0.0969
Palo Verde College,Blythe,CA,2508,0.0969
Boston College,Chestnut Hill,MA,9635,0.0968
Santa Clara University,Santa Clara,CA,5234,0.0967
Yale University,New Haven,CT,5256,0.0966
Dickinson College,Carlisle,PA,2364,0.0966
De Anza College,Cupertino,CA,22531,0.0966
Palo Verde College,Blythe,CA,3054,0.0965
Davidson College,Davidson,NC,1738,0.0964
James Madison University,Harrisonburg,VA,16648,0.0961
Fairfield University,Fairfield,CT,3623,0.096
Bevill State Community College,Sumiton,AL,3883,0.0958
Washington and Lee University,Lexington,VA,1846,0.0958
Boston College,Chestnut Hill,MA,9404,0.0957
San Diego Miramar College,San Diego,CA,10147,0.0956
Lake Washington Technical College,Kirkland,WA,2310,0.0956
Kapiolani Community College,Honolulu,HI,5436,0.0955
Santa Barbara City College,Santa Barbara,CA,15692,0.0954
Connecticut College,New London,CT,1741,0.0953
Folsom Lake College,Folsom,CA,8140,0.0953
Harvard University,Cambridge,MA,7255,0.0953
American Sentinel University,Aurora,CO,1868,0.0952
Rhodes College,Memphis,TN,1655,0.095
Skyline College,San Bruno,CA,8425,0.0949
The Art Institute of Philadelphia,Philadelphia,PA,3689,0.0948
Georgetown University,Washington,DC,7120,0.0948
College of William and Mary,Williamsburg,VA,5811,0.0943
Boston University,Boston,MA,16474,0.0941
Brazosport College,Lake Jackson,TX,3452,0.0938
Santiago Canyon College,Orange,CA,11825,0.0937
George Washington University,Washington,DC,10225,0.0936
Franklin and Marshall College,Lancaster,PA,2118,0.0936
Seattle Community College-North Campus,Seattle,WA,2500,0.0935
Washington College,Chestertown,MD,1268,0.0935
Arkansas State University-Mountain Home,Mountain Home,AR,1179,0.0933
Bucknell University,Lewisburg,PA,3523,0.0933
Colorado Mountain College,Glenwood Springs,CO,3119,0.0932
Johnson & Wales University-Charlotte,Charlotte,NC,2406,0.093
Roger Williams University,Bristol,RI,4269,0.093
Palo Verde College,Blythe,CA,3278,0.0927
Lake Washington Technical College,Kirkland,WA,1998,0.0926
Las Positas College,Livermore,CA,8992,0.0926
Colorado College,Colorado Springs,CO,2040,0.0925
Kenyon College,Gambier,OH,1618,0.0925
Rio Salado College,Tempe,AZ,5572,0.0924
Seattle Community College-North Campus,Seattle,WA,2428,0.0924
Tulsa Technology Center-Lemley Campus,Tulsa,OK,1291,0.0924
Palomar College,San Marcos,CA,23708,0.092
Collin County Community College District,Plano,TX,20695,0.0919
Muhlenberg College,Allentown,PA,2405,0.0918
Thomas Edison State College,Trenton,NJ,19141,0.0918
Foothill College,Los Altos Hills,CA,13542,0.0918
College of William and Mary,Williamsburg,VA,5790,0.0916
City Colleges of Chicago-Kennedy-King College,Chicago,IL,4542,0.0915
Colgate University,Hamilton,NY,2806,0.0915
The Art Institute of Dallas,Dallas,TX,1851,0.0915
Diablo Valley College,Pleasant Hill,CA,18691,0.0915
College of Southern Nevada,Las Vegas,NV,30831,0.0914
Dean College,Franklin,MA,1159,0.0914
Lafayette College,Easton,PA,2375,0.0914
Bucknell University,Lewisburg,PA,3602,0.0912
Furman University,Greenville,SC,2771,0.0912
San Diego Mesa College,San Diego,CA,20687,0.0911
Elon University,Elon,NC,5599,0.0911
Columbia Southern University,Orange Beach,AL,13298,0.091
Northwestern University,Evanston,IL,8704,0.0909
College of Lake County,Grayslake,IL,12414,0.0908
De Anza College,Cupertino,CA,23446,0.0906
George Washington University,Washington,DC,10291,0.0906
Sheridan College,Sheridan,WY,2024,0.0906
Illinois Eastern Community Colleges-Wabash Valley College,Mount Carmel,IL,1059,0.0906
University of Pennsylvania,Philadelphia,PA,10842,0.0903
James Madison University,Harrisonburg,VA,16979,0.0903
Universal Technical Institute of Pennsylvania Inc,Exton,PA,1462,0.0901
ITT Technical Institute-Green Bay,Green Bay,WI,1015,0.09
West Valley College,Saratoga,CA,10684,0.09
Duke University,Durham,NC,6416,0.0899
George C Wallace Community College-Dothan,Dothan,AL,3750,0.0898
United States Merchant Marine Academy,Kings Point,NY,1011,0.0898
Dickinson College,Carlisle,PA,2330,0.0896
Catholic University of America,Washington,DC,3422,0.0894
Washington and Lee University,Lexington,VA,1837,0.0894
Colby College,Waterville,ME,1825,0.0892
Fairfield University,Fairfield,CT,3948,0.0891
Taft College,Taft,CA,7448,0.0889
National University,La Jolla,CA,5131,0.0887
The Illinois Institute of Art-Chicago,Chicago,IL,2883,0.0886
Trinity University,San Antonio,TX,2468,0.0884
San Diego Mesa College,San Diego,CA,20610,0.0883
Trinity University,San Antonio,TX,2476,0.0882
Lake Tahoe Community College,South Lake Tahoe,CA,2885,0.0881
Career and Technology Education Centers of Licking County,Newark,OH,1797,0.088
Los Angeles Film School,Hollywood,CA,2218,0.088
Elon University,Elon,NC,5032,0.0879
Montana State University-Northern,Havre,MT,1124,0.0875
Colgate University,Hamilton,NY,2799,0.0874
Allegany College of Maryland,Cumberland,MD,2871,0.0871
Northwestern University,Evanston,IL,8905,0.087
Erie Community College,Buffalo,NY,11644,0.0869
Providence College,Providence,RI,4070,0.0868
Connecticut College,New London,CT,1777,0.0867
Santa Ana College,Santa Ana,CA,29098,0.0866
Foothill College,Los Altos Hills,CA,13362,0.0864
Sinte Gleska University,Mission,SD,2340,0.0863
Wichita Area Technical College,Wichita,KS,1066,0.0862
Catholic University of America,Washington,DC,3431,0.086
Chandler/Gilbert Community College,Chandler,AZ,4127,0.086
University of Richmond,Richmond,VA,3135,0.0858
Monterey Peninsula College,Monterey,CA,8784,0.0856
Loyola University Maryland,Baltimore,MD,3735,0.0853
Bowie State University,Bowie,MD,4161,0.0852
Quinnipiac University,Hamden,CT,5888,0.0852
Villanova University,Villanova,PA,6897,0.0851
Kenyon College,Gambier,OH,1657,0.085
Quinnipiac University,Hamden,CT,5747,0.0848
West Valley College,Saratoga,CA,10037,0.0848
San Diego Miramar College,San Diego,CA,10593,0.0846
University of Notre Dame,Notre Dame,IN,8367,0.0845
Loyola College in Maryland,Baltimore,MD,3697,0.0844
Middlebury College,Middlebury,VT,2422,0.0844
University of Mary Washington,Fredericksburg,VA,4259,0.0844
University of Mary Washington,Fredericksburg,VA,4070,0.0841
Dominican University,River Forest,IL,1608,0.0839
University of Virginia-Main Campus,Charlottesville,VA,14226,0.0838
Kaskaskia College,Centralia,IL,3312,0.0838
Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE,6656,0.0835
Wake Forest University,Winston Salem,NC,4466,0.0834
Illinois Eastern Community Colleges-Wabash Valley College,Mount Carmel,IL,1251,0.0834
American Sentinel University,Aurora,CO,2328,0.0831
Lamar State College-Orange,Orange,TX,1825,0.0828
Saddleback College,Mission Viejo,CA,20933,0.0828
Kenyon College,Gambier,OH,1616,0.0827
University of Virginia-Main Campus,Charlottesville,VA,13869,0.0825
Western Wyoming Community College,Rock Springs,WY,2558,0.0825
Cascadia Community College,Bothell,WA,1680,0.0822
Texarkana College,Texarkana,TX,4576,0.0818
Irvine Valley College,Irvine,CA,11633,0.0818
Piedmont Technical College,Greenwood,SC,4165,0.0816
Bates College,Lewiston,ME,1738,0.0816
Villanova University,Villanova,PA,6877,0.0815
University of Delaware,Newark,DE,16075,0.0814
Bates Technical College,Tacoma,WA,1441,0.0814
MiraCosta College,Oceanside,CA,13431,0.081
Sewanee-The University of the South,Sewanee,TN,1432,0.081
Clover Park Technical College,Lakewood,WA,1301,0.0809
Colorado College,Colorado Springs,CO,1966,0.0807
University of Pennsylvania,Philadelphia,PA,10840,0.0806
Davis Applied Technology College,Kaysville,UT,2163,0.0804
Moorpark College,Moorpark,CA,14636,0.0796
Monterey Peninsula College,Monterey,CA,8541,0.0791
City Colleges of Chicago-Harold Washington College,Chicago,IL,7676,0.0789
Foothill College,Los Altos Hills,CA,14291,0.0789
Kenyon College,Gambier,OH,1635,0.0788
John A Logan College,Carterville,IL,7245,0.0787
Washington and Lee University,Lexington,VA,1788,0.0785
Providence College,Providence,RI,3964,0.0784
Muhlenberg College,Allentown,PA,2357,0.0784
Bates Technical College,Tacoma,WA,1361,0.078
Lafayette College,Easton,PA,2352,0.0778
Clovis Adult Education,Clovis,CA,1457,0.0777
MiraCosta College,Oceanside,CA,12262,0.0777
Bellevue College,Bellevue,WA,4323,0.0776
Mid Florida Tech,Orlando,FL,1894,0.0775
Thomas Edison State College,Trenton,NJ,17721,0.0774
Diablo Valley College,Pleasant Hill,CA,19525,0.0773
University of Delaware,Newark,DE,16521,0.0771
Wake Forest University,Winston Salem,NC,4560,0.0769
Delta State University,Cleveland,MS,3212,0.0766
Bates College,Lewiston,ME,1776,0.0765
Franklin and Marshall College,Lancaster,PA,2130,0.0762
Davis Applied Technology College,Kaysville,UT,2045,0.0761
County College of Morris,Randolph,NJ,7470,0.0759
Palo Verde College,Blythe,CA,2796,0.0755
Santa Rosa Junior College,Santa Rosa,CA,22895,0.0751
Colby College,Waterville,ME,1847,0.075
Davidson College,Davidson,NC,1736,0.0749
Davis Applied Technology College,Kaysville,UT,2269,0.0748
Colby College,Waterville,ME,1838,0.0747
Las Positas College,Livermore,CA,7785,0.0744
Canada College,Redwood City,CA,5500,0.0744
Washington University in St Louis,Saint Louis,MO,6702,0.0743
Seattle Community College-South Campus,Seattle,WA,2073,0.074
Diablo Valley College,Pleasant Hill,CA,19115,0.0739
Washington University in St Louis,Saint Louis,MO,6658,0.0738
Atlantic Cape Community College,Mays Landing,NJ,6578,0.0737
Southwest Texas Junior College,Uvalde,TX,3672,0.0734
AVTEC-Alaska's Institute of Technology,Seward,AK,1011,0.073
College of San Mateo,San Mateo,CA,9693,0.0729
Siena Heights University,Adrian,MI,1947,0.0721
Elon University,Elon,NC,4992,0.0711
Cascadia Community College,Bothell,WA,1938,0.0711
Santiago Canyon College,Orange,CA,12459,0.071
International Academy of Design and Technology,Tampa,FL,2560,0.0709
Lafayette College,Easton,PA,2378,0.0709
Muhlenberg College,Allentown,PA,2372,0.0708
Seattle Community College-South Campus,Seattle,WA,1827,0.0708
Panola College,Carthage,TX,2303,0.0702
Westwood College-Denver North,Denver,CO,5937,0.0699
The Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,4651,0.0698
Downey Adult School,Downey,CA,1733,0.0698
Ohlone College,Fremont,CA,9572,0.0696
TUI University,Cypress,CA,4001,0.0695
Muhlenberg College,Allentown,PA,2411,0.0694
Ogden-Weber Applied Technology College,Ogden,UT,1765,0.0693
Davidson College,Davidson,NC,1661,0.0687
University of Akron Wayne College,Orrville,OH,1403,0.0687
ITT Technical Institute-Indianapolis,Indianapolis,IN,3898,0.0686
Walsh University,North Canton,OH,2276,0.0683
Lake Tahoe Community College,South Lake Tahoe,CA,2944,0.0682
Texas State Technical College Harlingen,Harlingen,TX,2038,0.068
Embry Riddle Aeronautical University-Worldwide,Daytona Beach,FL,10038,0.068
Lenoir-Rhyne University,Hickory,NC,1381,0.0679
Santa Rosa Junior College,Santa Rosa,CA,18514,0.0678
Illinois Eastern Community Colleges-Wabash Valley College,Mount Carmel,IL,1420,0.0678
College of the Canyons,Santa Clarita,CA,19152,0.0676
Santa Ana College,Santa Ana,CA,28664,0.0676
Illinois Eastern Community Colleges-Wabash Valley College,Mount Carmel,IL,1149,0.0676
The Art Institute of Houston,Houston,TX,1915,0.0674
Hacienda La Puente Adult Education,La Puente,CA,3704,0.0674
Chipola College,Marianna,FL,1592,0.0672
Hacienda La Puente Adult Education,La Puente,CA,3852,0.0669
SUNY Westchester Community College,Valhalla,NY,11091,0.0665
Ohlone College,Fremont,CA,9189,0.0665
Johnson & Wales University-Denver,Denver,CO,1432,0.0662
Rhode Island School of Design,Providence,RI,1940,0.0659
Pomona Unified School District Adult and Career Education,Pomona,CA,1143,0.0656
MiraCosta College,Oceanside,CA,11063,0.0647
Laredo Community College,Laredo,TX,7825,0.0644
Canada College,Redwood City,CA,4794,0.0643
Elon University,Elon,NC,4995,0.0643
Johnson & Wales University,Providence,RI,8913,0.0641
Thomas Edison State College,Trenton,NJ,17319,0.064
Sewanee-The University of the South,Sewanee,TN,1454,0.0639
Davis Applied Technology College,Kaysville,UT,1557,0.0638
American Public University System,Charles Town,WV,16202,0.0637
Santiago Canyon College,Orange,CA,12012,0.0636
Irvine Valley College,Irvine,CA,11148,0.0635
Nicolet Area Technical College,Rhinelander,WI,1092,0.063
Saddleback College,Mission Viejo,CA,20483,0.063
Columbia Southern University,Orange Beach,AL,10301,0.0629
Colorado Mountain College,Glenwood Springs,CO,2315,0.0628
Colorado Mountain College,Glenwood Springs,CO,2649,0.0628
Foothill College,Los Altos Hills,CA,17111,0.0624
Nyack College,Nyack,NY,1900,0.0622
College of San Mateo,San Mateo,CA,9417,0.0621
Hacienda La Puente Adult Education,La Puente,CA,3236,0.0621
University of Guam,Mangilao,GU,3000,0.0616
Washington University in St Louis,Saint Louis,MO,6851,0.0616
American Public University System,Charles Town,WV,22830,0.0615
Laboratory Institute of Merchandising,New York,NY,1295,0.0614
Palomar College,San Marcos,CA,24451,0.0612
Coastline Community College,Fountain Valley,CA,8725,0.0611
Palo Verde College,Blythe,CA,3223,0.061
Baldwin Park Adult & Community Education,Baldwin Park,CA,1490,0.061
Emily Griffith Opportunity School,Denver,CO,1704,0.061
Washington University in St Louis,Saint Louis,MO,6542,0.0605
Washington and Lee University,Lexington,VA,1757,0.0603
Lubbock Christian University,Lubbock,TX,1564,0.06
Hacienda La Puente Adult Education,La Puente,CA,1276,0.0594
Texarkana College,Texarkana,TX,4873,0.0589
Saint Marys College of California,Moraga,CA,2617,0.0587
Hacienda La Puente Adult Education,La Puente,CA,3497,0.0587
Irvine Valley College,Irvine,CA,7859,0.0586
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,2523,0.0581
Moorpark College,Moorpark,CA,14984,0.0579
McDaniel College,Westminster,MD,1720,0.0572
Career and Technology Education Centers of Licking County,Newark,OH,1484,0.0567
Eastern Arizona College,Thatcher,AZ,5430,0.0566
Philadelphia Biblical University-Langhorne,Langhorne,PA,1011,0.0563
Washington University in St Louis,Saint Louis,MO,6339,0.0561
Emily Griffith Opportunity School,Denver,CO,2021,0.0553
Wilson Community College,Wilson,NC,1538,0.0546
The Art Institute of California-Orange County,Santa Ana,CA,1727,0.0545
Post University,Waterbury,CT,1429,0.0544
Purdue University-North Central Campus,Westville,IN,3762,0.0543
Washington University in St Louis,Saint Louis,MO,6436,0.0541
New York Film Academy,Universal City,CA,1344,0.054
Santa Ana College,Santa Ana,CA,31895,0.0539
Sewanee: The University of the South,Sewanee,TN,1464,0.0536
Wayne Community College,Goldsboro,NC,3189,0.0533
University of North Alabama,Florence,AL,5559,0.0532
Coastal Carolina University,Conway,SC,7322,0.0532
City Colleges of Chicago-Malcolm X College,Chicago,IL,3474,0.053
McFatter Technical Center,Davie,FL,1283,0.053
Union University,Jackson,TN,2275,0.0527
Trident University International,Cypress,CA,4616,0.0524
Grayson County College,Denison,TX,4707,0.0522
Pomona Unified School District Adult and Career Education,Pomona,CA,1309,0.0522
Moorpark College,Moorpark,CA,14586,0.0521
Central Community College,Grand Island,NE,4091,0.0521
Wake Technical Community College,Raleigh,NC,13133,0.0519
Sam Houston State University,Huntsville,TX,14302,0.051
Halifax Community College,Weldon,NC,1226,0.0508
The Illinois Institute of Art-Schaumburg,Schaumburg,IL,1240,0.0505
Western Texas College,Snyder,TX,1563,0.0502
Excelsior College,Albany,NY,37440,0.05
Palomar College,San Marcos,CA,23454,0.0497
Embry Riddle Aeronautical University-Prescott,Prescott,AZ,1672,0.0495
Thomas Edison State College,Trenton,NJ,16797,0.0492
College of the Canyons,Santa Clarita,CA,18454,0.0489
Susquehanna University,Selinsgrove,PA,2066,0.0486
The University of the Arts,Philadelphia,PA,2167,0.0485
Chicago State University,Chicago,IL,5161,0.0475
Western Texas College,Snyder,TX,1300,0.0473
Davis Applied Technology College,Kaysville,UT,1963,0.0469
Pomona Unified School District Adult and Career Education,Pomona,CA,1442,0.0468
Pomona Unified School District Adult and Career Education,Pomona,CA,2678,0.0466
Coastline Community College,Fountain Valley,CA,8884,0.0465
University of Southern Mississippi,Hattiesburg,MS,12062,0.046
Surry Community College,Dobson,NC,2605,0.0456
University of Montevallo,Montevallo,AL,2558,0.0454
Trident University International,Cypress,CA,3564,0.0448
Community College of Rhode Island,Warwick,RI,16007,0.0446
Saddleback College,Mission Viejo,CA,21414,0.044
Allied American University,Laguna Hills,CA,2259,0.044
Taft College,Taft,CA,6558,0.0439
Washington and Lee University,Lexington,VA,1757,0.0439
Missouri University of Science and Technology,Rolla,MO,4875,0.0438
Howard College,Big Spring,TX,3214,0.0436
Embry Riddle Aeronautical University-Worldwide,Daytona Beach,FL,10238,0.0429
Augustana College,Rock Island,IL,2531,0.0426
University of Massachusetts Amherst,Amherst,MA,19964,0.0425
Coastline Community College,Fountain Valley,CA,9346,0.0424
Goucher College,Baltimore,MD,1434,0.0421
Lakeland Community College,Kirtland,OH,6876,0.042
Saint Mary's College,Notre Dame,IN,1613,0.0418
Southeastern Community College,Whiteville,NC,2030,0.0414
TUI University,Cypress,CA,3800,0.0413
Saddleback College,Mission Viejo,CA,15407,0.0412
Temple University,Philadelphia,PA,25598,0.0409
Eastern University,Saint Davids,PA,2537,0.0408
Northcentral Technical College,Wausau,WI,2849,0.0402
Foothill College,Los Altos Hills,CA,16342,0.0402
Southwest Wisconsin Technical College,Fennimore,WI,1623,0.04
Mountain State University,Beckley,WV,4266,0.0393
Santiago Canyon College,Orange,CA,13316,0.0392
Manhattan Institute,New York,NY,1135,0.0392
Kellogg Community College,Battle Creek,MI,4535,0.0389
Taft College,Taft,CA,1760,0.0388
Washington and Lee University,Lexington,VA,1749,0.0388
Pikes Peak Community College,Colorado Springs,CO,9935,0.0376
Oklahoma State University-Main Campus,Stillwater,OK,17944,0.0372
Clark University,Worcester,MA,2293,0.0371
King College,Bristol,TN,1320,0.0371
Troy University,Troy,AL,20898,0.037
Victoria College,Victoria,TX,3979,0.037
University of Rochester,Rochester,NY,5201,0.0364
Excelsior College,Albany,NY,37707,0.0364
Texas Tech University,Lubbock,TX,23080,0.0361
Embry Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,4632,0.0356
Washburn University,Topeka,KS,5396,0.0354
Ogden-Weber Applied Technology College,Ogden,UT,1815,0.0353
Sampson Community College,Clinton,NC,1142,0.0352
