INSTNM,SATVR75,SATWR75,SATMT75,mn_earn_wne_p10,CITY
Northwestern University,750,760,780,,Evanston
Duke University,750,760,780,,Durham
Rice University,750,760,780,81300,Houston
Rice University,750,760,780,,Houston
Northwestern University,750,770,780,85600,Evanston
Duke University,750,770,780,107600,Durham
University of Pennsylvania,750,770,780,113400,Philadelphia
University of Pennsylvania,750,770,780,,Philadelphia
Duke University,750,770,780,,Durham
WASHINGTON UNIVERSITY IN ST LOUIS,740,,780,,ST LOUIS
Cornell University,740,,780,,Ithaca
Cornell University,740,750,780,,Ithaca
University of Pennsylvania,740,760,780,,Philadelphia
Cooper Union for the Advancement of Science and Art,730,740,780,,New York
Carnegie Mellon University,730,740,780,95900,Pittsburgh
Rice University,730,750,780,85900,Houston
Carnegie Mellon University,720,710,780,,Pittsburgh
Carnegie Mellon University,720,720,780,77700,Pittsburgh
Cooper Union for the Advancement of Science and Art,720,730,780,72000,New York
Carnegie Mellon University,720,730,780,,Pittsburgh
Cooper Union for the Advancement of Science and Art,720,730,780,,New York
Carnegie Mellon University,710,700,780,,Pittsburgh
Carnegie Mellon University,710,700,780,88000,Pittsburgh
Cooper Union for the Advancement of Science and Art,710,710,780,,New York
Cooper Union for the Advancement of Science and Art,710,730,780,,New York
University of Illinois at Urbana-Champaign,670,670,780,,Champaign
University of Illinois at Urbana-Champaign,660,680,780,65600,Champaign
Franklin W. Olin College of Engineering,773,750,773,,Needham
Pomona College,780,770,770,67400,Claremont
Swarthmore College,780,770,770,,Swarthmore
Pomona College,780,780,770,67600,Claremont
AMHERST COLLEGE,770,,770,,AMHERST
AMHERST COLLEGE,770,,770,,AMHERST
PRINCETON UNIVERSITY,770,,770,,PRINCETON
Amherst College,770,770,770,,Amherst
DARTMOUTH COLLEGE,760,,770,,HANOVER
COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,760,,770,,NEW YORK
COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,760,,770,,NEW YORK
Rice University,760,,770,,Houston
Vanderbilt University,760,750,770,,Nashville
Brown University,760,760,770,90100,Providence
Swarthmore College,760,760,770,73400,Swarthmore
Brown University,760,760,770,,Providence
Amherst College,760,760,770,,Amherst
Brown University,760,770,770,81100,Providence
Amherst College,760,770,770,88400,Amherst
